User_ID,Day,Calories_Consumed,Weight
0,0,2577.196094861739,62.736958945229354
0,1,1879.7725584565042,62.90404243830068
0,2,2104.1500598656985,62.831967072033
0,3,2121.6246533305857,62.682249200859594
0,4,2313.8993189856947,62.514168724540575
0,5,2380.479878336198,62.49358382372426
0,6,2227.6584165423237,62.32138075547957
0,7,2126.3114314317468,62.4949306109266
0,8,2449.6179868895606,62.2799033079036
0,9,2329.1425222310145,62.42631064275604
0,10,1798.521246265835,62.600024445431565
0,11,2100.5557029184924,62.739960689239
0,12,2070.3650836394913,62.40872163884152
0,13,1811.0800992372976,62.481749372506904
0,14,2377.259581118691,62.290766988977396
0,15,2490.9205682354586,61.93358275085695
0,16,2279.5188910080515,61.693954048514094
0,17,2103.7919982615986,61.72882999476967
0,18,2041.2188210170607,61.68544148457113
0,19,2601.2306733665787,61.53085689732048
0,20,2550.0504642217893,61.27235609345136
0,21,2458.2840839768314,61.54002809636546
0,22,1557.8494805640598,61.47694688293866
0,23,2472.4644687564087,61.41385447609965
0,24,2410.6865926136393,61.27859720992384
0,25,2325.3197668441167,61.24408813476206
0,26,2649.677449100189,61.24947430101997
0,27,2400.6236292248072,61.15394555732502
0,28,2153.0609633804984,61.08643156485483
0,29,2417.6784733157356,60.98686640340331
0,30,2386.27528767117,61.39065663364293
0,31,2560.680241631754,61.29151200369903
0,32,2659.70700725143,61.16309638667275
0,33,1687.9054700488905,61.040886573911784
0,34,1738.10525429449,61.04347187402661
0,35,2304.868344359112,61.37804173729246
0,36,2397.421042731495,61.32148420138403
0,37,2548.1645049572935,60.84694263641946
0,38,2370.027198034816,60.9919358872186
0,39,1855.766956868294,61.278293952189074
0,40,2400.891752850571,61.18204819768835
0,41,2489.177390434132,61.61153293031003
0,42,2353.902707119795,61.654091349321064
0,43,2161.534560740173,61.50201965333227
0,44,2548.4435755655204,61.29845214205137
0,45,2320.8127017680645,61.200132357741744
0,46,2443.036778326164,61.248203227146675
0,47,2610.6048138796164,61.10577631318386
0,48,2218.3803500142353,60.92053817789597
0,49,2166.054852579413,61.013308403520895
0,50,2526.439415595852,60.79938227569919
0,51,2560.2246066339444,61.03662909732619
0,52,2423.373301569357,61.39588040646545
0,53,2067.2060708711747,61.177097096937075
0,54,1765.726755930963,61.54560674815326
0,55,2495.6525275084637,61.50899504813919
0,56,2383.3334184981927,61.2729893701216
0,57,3033.0684244872946,61.203544568349756
0,58,2332.1612689837143,61.344435758274756
0,59,2443.6456001232605,61.37047194371227
1,0,1935.2048031321697,84.30371084803127
1,1,2736.9544887082734,84.49946922752947
1,2,2650.3031277575824,84.33515388601053
1,3,1875.4656936881888,84.34855253394873
1,4,2189.0646134523713,84.56521973716414
1,5,1664.6077508513174,84.93706998143476
1,6,2124.9447701920662,84.85784991933797
1,7,1868.7158271877129,84.56631122296196
1,8,2419.2983149543375,84.54890323520631
1,9,1785.3588698434469,84.34014569766661
1,10,2071.6117299787247,84.68703252347606
1,11,2094.469734356682,84.39651788160687
1,12,2098.62422053998,84.3515475727516
1,13,1363.2811468832915,84.4457621050172
1,14,2103.0667807031596,84.59400082720879
1,15,2727.033968249367,84.74727658266592
1,16,2091.680532599314,84.53644758366647
1,17,2944.3550807407214,84.44803049891418
1,18,2176.525927339647,84.44266278180726
1,19,2231.7725679961195,84.4060731113406
1,20,2000.2485377016922,84.31905179089306
1,21,2162.5211587009635,84.2116429381033
1,22,1958.4934049626138,84.26070219595377
1,23,2095.8539745395065,84.57143497097242
1,24,1377.0561972478595,84.89302087934625
1,25,2546.172697515052,84.42979405913096
1,26,2069.5408615416586,84.36885735063623
1,27,1750.0936313504167,84.26813213109408
1,28,1839.1743861260145,84.66185540856318
1,29,2453.0506577100014,84.87971142523159
1,30,2388.8487589787337,84.62578397758386
1,31,2014.991059881831,84.74409474435983
1,32,1805.7087970981795,84.93430979957192
1,33,2100.2495203183225,84.86870896526297
1,34,2385.6351302268104,84.92986188853926
1,35,2064.057290020039,85.17579146606221
1,36,1848.0281414857939,85.34109793787702
1,37,2350.2775171562785,85.25608080879468
1,38,2270.1870464383987,84.99315161213156
1,39,2449.5552455278334,84.92017013214658
1,40,2015.5302336100513,85.15033780928223
1,41,1961.0440326029354,84.89608751197872
1,42,1705.358387708592,85.0779373921254
1,43,1788.218334016878,85.47878308641174
1,44,1547.7683174006465,85.89918849284443
1,45,2235.6523799265487,85.87162441070922
1,46,2008.8714137230781,85.97268224735141
1,47,2161.0567290383087,86.19480891086218
1,48,2206.6154343643752,86.2204188352846
1,49,2063.2634761016066,86.22319642010716
1,50,2264.687670433381,85.86917046486575
1,51,1767.891513134049,86.07034998842765
1,52,2223.606771204146,86.02689622616512
1,53,2177.8773196853813,86.0956943620531
1,54,2010.4192356729548,85.96106301490677
1,55,2231.1007162950677,85.75775812476957
1,56,2294.8229664801047,85.40133545240066
1,57,2481.093830963456,85.45575797600046
1,58,2249.156060059926,85.64232098833577
1,59,2671.989473104536,85.78030638662007
2,0,1777.275438220645,96.03736894942847
2,1,2142.0921343114346,96.06693074041982
2,2,2484.8354137608753,95.9016134445241
2,3,2385.567736963262,95.74326023086601
2,4,2146.082366722554,95.48575338044411
2,5,2052.5677337868674,95.2513865857927
2,6,2036.7757317269386,95.50013598094455
2,7,2044.7180409705556,96.06360196100938
2,8,2477.5330778844054,96.08134900779196
2,9,2072.0303735657744,96.25485349458991
2,10,2156.846359748806,96.30168290529448
2,11,3097.563069100777,96.18272737191052
2,12,2674.3197055058413,95.99731520404303
2,13,2319.04116047105,96.35283851911157
2,14,2141.447590283808,96.73975551867672
2,15,2541.8632882567813,96.59968741276583
2,16,2519.2600293367946,96.76955904013057
2,17,2516.0806962852976,96.43128773398817
2,18,2111.396554872678,96.4101140267152
2,19,2307.2076788901245,96.53714844995652
2,20,2382.8480079001147,96.26315616259372
2,21,2443.5970629219273,96.37046040836454
2,22,2497.4748419994503,96.5648065360236
2,23,2579.71435398481,96.62415207831543
2,24,2308.4879941825443,96.2946936206301
2,25,2458.423173359914,96.31949278588873
